"roster_id", "league_id", "user_id", "char_id", "episode"
220, 1, 4, 22, 7
221, 1, 4, 22, 8
222, 1, 4, 22, 9
223, 1, 4, 22, 10
224, 1, 4, 23, 1
225, 1, 4, 23, 2
226, 1, 4, 23, 3
227, 1, 4, 23, 4
228, 1, 4, 23, 5
229, 1, 4, 23, 6
230, 1, 4, 23, 7
231, 1, 4, 23, 8
232, 1, 4, 23, 9
233, 1, 4, 23, 10 
234, 1, 4, 24, 1
235, 1, 4, 24, 2
236, 1, 4, 24, 3
237, 1, 4, 24, 4
238, 1, 4, 24, 5
239, 1, 4, 24, 6
240, 1, 4, 24, 7
241, 1, 4, 24, 8
242, 1, 4, 24, 9
243, 1, 4, 24, 10
244, 1, 2, 12, 10
