id, name, nickname, house, imageUrl
25,Davos Seaworth,The Onion Knight,Baratheon,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/davos-seaworth-512x512.jpg
26,Jon Snow,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/john-snow-512x512.jpg
27,Ramsay Snow,The Bastard,Bolton,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/ramsay-512x512.jpg
28,Arya Stark,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/arya-stark-512x512.jpg
29,Bran Stark,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/bran-stark-512x512.jpg
30,Sansa Stark,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/sansa-stark-160.jpg
31,High Septon,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/high-sparrow-512x512.jpg
32,Daenerys Targaryen,Mother Of Dragons,Targaryen,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/daenarys-512x512.jpg
33,Samwell Tarly,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/samwell-512x512.jpg
34,Tormund Giantsbane,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/tormund-512x512.jpg
35,Margaery Tyrell,null,Tyrell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/margarey-tyrell-512x512.jpg
36,Olenna Tyrell,The Queen of Thorns,Tyrell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/olenna-tyrell-512x512.jpg
37,Varys,The Spider,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/maetser-varys-512x512.jpg
38,Aemon II Targaryen,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/aemon-targaryen-512x512.jpg
39,Lysa Arryn,null,Arryn,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/lysa-arryn-512x512.jpg
40,Robin Arryn,null,Arryn,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/robyn-arryn-512x512.jpg
41,Joffrey Baratheon,null,Baratheon,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/joffrey-512x512.jpg
42,Renly Baratheon,null,Baratheon,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/renly-baratheon-512x512.jpg
43,Robert Baratheon,null,Baratheon,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/robert-baratheon-512x512.jpg
44,Jory Cassel,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/jory-cassel-512x512.jpg
45,Rodrik Cassel,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/ser-rodrik-cassel-512x512.jpg
46,Berric Dondarrion,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/beric-dondarron-512x512.jpg
47,Khal Drogo,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/khal-drogo-512x512.jpg
48,Syrio Forel,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/syrio-forel-512x512.jpg
49,Gendry,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/gendry-512x512.jpg
50,Grenn,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/grenn-512x512.jpg
51,Balon Greyjoy,null,Greyjoy,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/balon-greyjoy-512x512.jpg
52,Yara Greyjoy,null,Greyjoy,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/yara-greyjoy-512x512.jpg
53,Hodor,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/hodor-512x512.jpg
54,Illyrio,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/magister-illyrio-160.jpg
55,Irri,null,Targaryen,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/irri-512x512.jpg
56,Richard Karstark,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/karstark-512x512.jpg
57,Lancel Lannister,null,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/lancel-lannister-512x512.jpg
58,Tywin Lannister,null,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/tywin-lannister-512x512.jpg
59,Maester Luwin,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/maester-luwin-512x512.jpg
60,Marillion,null,Arryn,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/marillion-512x512.jpg
61,Oberyn Martell,The Viper,Martell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/oberyn-512x512.jpg
62,Sandor Clegane,The Hound,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/sandor-clegane-512x512.jpg
63,Mirri Maz Duur,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/mirri-maz-duur-512x512.jpg
64,Septa Mordane,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/septa-mordane-512x512.jpg
65,Jeor Mormont,The Great Bear,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/jeor-mormont-512x512.jpg
66,Orell,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/orell-512x512.jpg
67,Osha,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/osha-512x512.jpg
68,Podrick Payne,null,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/podrick-payne-512x512.jpg
69,Grand Maester Pycelle,null,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/maester-pycelle-512x512.jpg
70,Pyp,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/pyp-512x512.jpg
71,Qyburn,null,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/qyburn-512x512.jpg
72,Rattleshirt,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/rattleshirt-512x512.jpg
73,Ros,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/ros-512x512.jpg
74,Barristan Selmy,Barristan the Bold,Targaryen,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/barristan-selmy-512x512.jpg
75,Shae,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/shae-512x512.jpg
76,Janos Slynt,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/janos-slynt-512x512.jpg
77,Benjen Stark,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/benjen-stark-512x512.jpg
78,Catelyn Stark,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/catelyn-stark-512x512.jpg
79,Eddard Stark,Ned,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/eddard-ned-stark-512x512.jpg
80,Rickon Stark,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/rickon-stark-512x512.jpg
81,Robb Stark,The Young Wolf,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/robert-stark-512x512.jpg
82,Talisa Stark,null,Stark,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/talisa-stark-512x512.jpg
83,Viserys Targaryen,null,Targaryen,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/viserys-targaryen-512x512.jpg
84,Alliser Thorne,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/allister-thorne-512x512.jpg
85,Thoros of Myr,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s3/thoros-160.jpg
86,Brynden Tully,The BlackFish,Tully,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/blackfish-tully-512x512.jpg
87,Ygritte,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/ygritte-512x512.jpg
